timestamp_seconds,raw
0.085,160.8
0.094,"5904.824,""cm"",238.4"
0.098,"{""SpeedOutputFeature"":""D""}"
0.174,"6490.987,""cmps"",6.1"
0.200,"6491.047,""cm"",238.5"
0.269,"6491.079,""cmps"",9.1"
0.314,"6491.138,""cm"",238.5"
0.355,"6491.170,""cmps"",9.1"
0.368,"6491.229,""cm"",247.0"
0.446,"6491.261,""cmps"",6.1"
0.458,"6491.320,""cm"",247.0"
0.537,"6491.352,""cmps"",9.1"
0.549,"6491.411,""cm"",247.0"
0.628,"6491.443,""cmps"",6.1"
0.640,"6491.502,""cm"",247.0"
0.720,"6491.534,""cmps"",6.1"
0.731,"6491.593,""cm"",247.0"
0.811,"6491.625,""cmps"",9.1"
0.822,"6491.684,""cm"",247.0"
0.901,"6491.716,""cmps"",9.1"
0.913,"6491.775,""cm"",238.5"
0.992,"6491.807,""cmps"",6.1"
1.004,"6491.866,""cm"",238.5"
1.084,"6491.898,""cmps"",9.1"
1.095,"6491.957,""cm"",238.5"
