timestamp_seconds,voltage
0.009,1.2903
0.051,1.2194
0.100,1.4129
0.155,1.0323
0.200,1.2226
0.279,1.1581
0.306,1.1194
0.350,1.2903
0.400,1.3742
0.453,1.3032
0.500,1.1290
0.550,1.2032
0.600,1.2290
0.650,1.2677
0.700,1.1419
0.750,1.2258
0.800,1.2387
0.850,1.2323
0.900,1.3290
0.950,1.1903
1.000,1.2194
1.050,1.3032
1.100,1.2032
1.150,1.2935
1.200,1.3000
1.250,1.3065
1.300,1.3194
1.350,1.2387
1.400,1.1194
1.450,1.3032
1.500,1.4065
1.550,1.2968
1.600,1.2129
1.650,1.2613
1.700,1.2065
1.750,1.3387
1.800,1.1903
1.850,1.3194
1.900,1.1097
1.950,1.3742
2.000,1.2323
2.050,1.2774
2.100,1.2935
2.150,1.2258
2.200,1.4290
2.250,1.1258
2.300,1.2613
2.350,1.2839
2.400,1.3032
2.450,1.2774
2.500,1.2000
2.554,1.2710
2.600,1.5548
2.650,1.2194
2.700,1.2613
2.750,1.2290
2.800,1.4323
2.850,1.2774
2.900,0.9839
2.950,1.3484
3.000,1.5613
3.051,1.0419
3.100,0.9871
3.150,1.1871
3.200,1.3194
3.250,1.4677
3.300,1.1323
3.350,1.1806
3.400,1.2129
3.450,1.0581
3.502,1.3613
3.550,1.1645
3.600,1.1968
3.652,1.1516
3.700,1.2161
3.750,1.2194
3.800,1.2645
3.850,1.1968
3.900,1.0935
3.950,1.1968
4.000,1.4645
4.050,1.2258
4.100,1.1903
4.150,1.3097
4.200,1.1935
4.250,1.2065
4.300,1.2806
4.350,1.1000
4.400,1.0645
4.450,1.2129
4.500,1.2290
4.550,1.2484
4.600,1.2323
4.650,1.2548
4.700,1.1839
4.750,1.1903
4.800,1.2548
4.850,1.3032
4.900,1.0355
4.950,1.3032
5.000,1.3387
5.050,1.2710
5.100,1.2258
5.150,1.4645
5.200,1.2581
5.250,1.0903
5.300,1.1645
5.352,1.3161
5.400,1.2613
5.450,1.1710
5.500,1.2839
5.550,1.3355
5.614,1.1774
5.650,1.2065
5.700,1.3097
5.750,1.2548
5.800,1.1645
5.850,1.3839
5.900,1.4935
5.950,1.1161
6.000,1.2581
6.050,1.3387
6.100,1.4032
6.150,1.2194
6.200,1.1258
6.250,1.2290
6.300,1.4226
6.350,1.1226
6.400,1.2645
6.450,1.1613
6.500,1.2129
6.550,1.1871
6.600,1.1903
6.650,1.3871
6.700,1.3032
6.750,1.1839
6.800,1.2677
6.850,1.1839
6.900,1.4032
6.950,1.1387
7.000,1.1516
7.050,1.2355
7.100,1.0258
7.150,1.2968
7.200,1.1774
7.250,1.4000
7.300,1.0548
7.350,1.3774
7.400,1.4581
7.450,1.2032
7.500,1.1419
7.550,1.1290
7.600,1.1419
7.650,1.2871
7.700,1.1194
7.750,1.1935
7.800,1.1774
7.850,1.1484
7.900,1.1871
7.950,1.2806
8.000,1.3355
8.050,1.3516
8.100,1.2452
8.150,1.2548
8.200,1.3194
8.250,1.3516
8.300,1.3000
8.350,1.2452
8.400,1.2484
8.450,1.2323
8.500,1.2161
8.550,1.2226
8.600,1.2774
8.650,1.0581
8.700,1.2161
8.750,1.0516
8.800,1.0935
8.850,1.2677
8.900,1.1581
8.950,1.1839
9.000,1.2452
9.050,1.3581
9.100,1.2613
9.150,1.3806
9.200,1.0452
9.250,1.2065
9.300,1.3323
9.350,1.1839
9.400,1.2839
9.450,1.0871
9.500,1.1419
9.550,1.3452
9.600,1.1581
9.652,1.2516
9.700,1.1871
9.750,1.1581
9.800,1.2548
9.850,1.1355
9.900,1.0806
9.950,1.3258
10.000,1.3387
10.050,1.2290
10.101,1.1710
10.150,1.1581
10.200,0.9194
10.250,1.3742
10.300,1.8355
10.350,1.1323
10.400,1.3419
10.450,1.3032
10.500,0.8097
10.550,0.8290
10.600,1.0710
10.650,1.4258
10.700,0.8774
10.750,1.3548
10.800,1.2387
10.850,0.9742
10.900,1.6710
10.950,1.2903
11.000,1.2161
11.050,1.4935
11.100,1.1226
11.150,1.2387
11.200,1.4161
11.250,1.0871
11.300,1.2226
11.350,1.3613
11.400,1.3129
11.450,1.3097
11.500,1.0194
11.550,1.0258
11.600,1.4871
11.650,1.5935
11.700,1.0774
