timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.331,36.01,22.32,1018.67,172898,89.38,5201,16,16,16,-0.353,0.941,9.767,26.550,4.950,-14.036
1.799,36.04,22.27,1018.67,19829,89.38,5201,16,16,16,-0.235,0.981,9.767,25.950,4.500,-13.310
3.275,36.06,22.19,1018.67,27838,89.38,5201,16,16,16,-0.353,1.059,9.767,25.950,4.950,-13.310
4.747,36.09,22.11,1018.67,34180,89.38,5201,16,16,16,-0.353,0.902,9.807,25.950,4.500,-13.794
6.218,36.13,22.05,1018.67,39627,89.38,5201,16,16,16,-0.353,0.941,9.846,26.400,4.500,-13.310
7.708,36.16,21.99,1018.68,43868,89.38,5201,16,16,16,-0.392,0.863,9.846,25.950,4.800,-13.310
9.183,36.18,21.95,1018.68,49471,89.38,5201,16,16,16,-0.314,0.941,9.807,26.400,4.500,-13.552
10.655,36.21,21.89,1018.68,52903,89.38,5201,16,16,16,-0.353,0.981,9.767,26.100,5.100,-12.826
12.137,36.24,21.86,1018.67,55737,89.38,5201,16,16,16,-0.314,0.941,9.767,25.950,6.300,-13.794
13.607,36.27,21.82,1018.67,58464,89.38,5201,16,16,16,-0.353,0.981,9.885,26.550,4.650,-13.552
15.082,36.30,21.79,1018.68,60339,89.38,5201,16,16,16,-0.235,0.902,9.807,26.100,5.700,-13.310
16.564,36.31,21.75,1018.68,62691,89.38,5201,16,16,16,-0.314,0.941,9.767,26.550,5.400,-13.068
18.051,36.32,21.76,1018.69,64333,89.38,5201,16,16,16,-0.235,0.941,9.689,25.950,5.100,-13.794
19.525,36.34,21.74,1018.69,66560,89.38,5201,16,16,16,-0.314,0.902,9.689,26.250,4.950,-13.794
20.999,36.35,21.73,1018.69,67993,89.38,5201,16,16,16,-0.314,0.941,9.728,25.950,4.950,-13.552
22.466,36.37,21.71,1018.69,69326,89.38,5201,16,16,16,-0.392,0.863,9.885,26.250,4.950,-13.552
23.933,36.37,21.70,1018.69,70655,89.38,5201,16,16,16,-0.314,1.020,9.846,25.800,4.500,-13.068
25.409,36.39,21.69,1018.69,72331,89.38,5201,16,16,16,-0.353,0.941,9.807,26.250,4.650,-13.552
